Start_Supplier_ID,Customer_ID,Origin,Strat_time,Number_of_Cities,Km_to_Travel,Planned_ETA,Route1,Route2,Route3,End_Destination
SUP8320,CUST1683,LOC851,20:48,6,490,03:01,LOC851 -> LOC366 -> LOC980 -> LOC374 -> LOC572 -> LOC952,LOC851 -> LOC489 -> LOC355 -> LOC812 -> LOC305 -> LOC952,LOC851 -> LOC544 -> LOC197 -> LOC837 -> LOC170 -> LOC952,LOC952
SUP7261,CUST3414,LOC735,15:29,9,124,02:25,LOC735 -> LOC584 -> LOC964 -> LOC331 -> LOC882 -> LOC174 -> LOC919 -> LOC327 -> LOC191,LOC735 -> LOC119 -> LOC585 -> LOC147 -> LOC479 -> LOC775 -> LOC132 -> LOC150 -> LOC191,LOC735 -> LOC443 -> LOC769 -> LOC461 -> LOC617 -> LOC944 -> LOC793 -> LOC149 -> LOC191,LOC191
SUP9370,CUST9925,LOC699,22:39,5,62,02:08,LOC699 -> LOC570 -> LOC871 -> LOC245 -> LOC588,LOC699 -> LOC881 -> LOC517 -> LOC779 -> LOC588,LOC699 -> LOC221 -> LOC269 -> LOC519 -> LOC588,LOC588
SUP4610,CUST9339,LOC207,09:42,2,302,14:00,LOC207 -> LOC829,LOC207 -> LOC829,LOC207 -> LOC829,LOC829
SUP6423,CUST6306,LOC575,08:51,6,488,14:31,LOC575 -> LOC432 -> LOC146 -> LOC329 -> LOC688 -> LOC486,LOC575 -> LOC467 -> LOC112 -> LOC760 -> LOC237 -> LOC486,LOC575 -> LOC978 -> LOC957 -> LOC928 -> LOC459 -> LOC486,LOC486
SUP2053,CUST5097,LOC432,04:33,10,343,04:53,LOC432 -> LOC183 -> LOC936 -> LOC759 -> LOC100 -> LOC946 -> LOC922 -> LOC249 -> LOC229 -> LOC529,LOC432 -> LOC770 -> LOC749 -> LOC518 -> LOC912 -> LOC471 -> LOC673 -> LOC507 -> LOC796 -> LOC529,LOC432 -> LOC579 -> LOC156 -> LOC785 -> LOC109 -> LOC989 -> LOC340 -> LOC368 -> LOC213 -> LOC529,LOC529
SUP6408,CUST6009,LOC433,18:26,2,448,22:15,LOC433 -> LOC565,LOC433 -> LOC565,LOC433 -> LOC565,LOC565
SUP4968,CUST8024,LOC783,22:18,5,366,07:36,LOC783 -> LOC802 -> LOC784 -> LOC748 -> LOC104,LOC783 -> LOC232 -> LOC982 -> LOC148 -> LOC104,LOC783 -> LOC537 -> LOC545 -> LOC628 -> LOC104,LOC104
SUP1523,CUST6658,LOC857,08:18,4,354,12:54,LOC857 -> LOC517 -> LOC453 -> LOC563,LOC857 -> LOC395 -> LOC824 -> LOC563,LOC857 -> LOC878 -> LOC590 -> LOC563,LOC563
SUP1360,CUST4669,LOC235,07:35,7,366,06:20,LOC235 -> LOC478 -> LOC646 -> LOC956 -> LOC529 -> LOC337 -> LOC461,LOC235 -> LOC291 -> LOC499 -> LOC413 -> LOC536 -> LOC153 -> LOC461,LOC235 -> LOC412 -> LOC575 -> LOC158 -> LOC280 -> LOC438 -> LOC461,LOC461
SUP7029,CUST2408,LOC274,12:27,4,455,08:38,LOC274 -> LOC659 -> LOC565 -> LOC785,LOC274 -> LOC103 -> LOC969 -> LOC785,LOC274 -> LOC967 -> LOC570 -> LOC785,LOC785
SUP2979,CUST3825,LOC248,11:05,5,323,03:20,LOC248 -> LOC868 -> LOC543 -> LOC844 -> LOC190,LOC248 -> LOC518 -> LOC290 -> LOC970 -> LOC190,LOC248 -> LOC889 -> LOC539 -> LOC862 -> LOC190,LOC190
SUP7981,CUST5020,LOC832,21:37,8,204,12:19,LOC832 -> LOC404 -> LOC320 -> LOC440 -> LOC159 -> LOC447 -> LOC328 -> LOC763,LOC832 -> LOC370 -> LOC558 -> LOC944 -> LOC488 -> LOC990 -> LOC881 -> LOC763,LOC832 -> LOC321 -> LOC303 -> LOC163 -> LOC274 -> LOC412 -> LOC818 -> LOC763,LOC763
SUP0161,CUST8931,LOC273,09:53,10,353,00:21,LOC273 -> LOC700 -> LOC689 -> LOC738 -> LOC542 -> LOC291 -> LOC760 -> LOC489 -> LOC934 -> LOC300,LOC273 -> LOC374 -> LOC265 -> LOC458 -> LOC132 -> LOC819 -> LOC998 -> LOC860 -> LOC164 -> LOC300,LOC273 -> LOC746 -> LOC795 -> LOC828 -> LOC794 -> LOC665 -> LOC201 -> LOC204 -> LOC802 -> LOC300,LOC300
SUP4870,CUST2404,LOC263,08:11,4,364,22:55,LOC263 -> LOC168 -> LOC940 -> LOC445,LOC263 -> LOC200 -> LOC997 -> LOC445,LOC263 -> LOC111 -> LOC477 -> LOC445,LOC445
SUP8673,CUST3769,LOC734,03:50,4,254,01:54,LOC734 -> LOC756 -> LOC699 -> LOC550,LOC734 -> LOC270 -> LOC946 -> LOC550,LOC734 -> LOC465 -> LOC185 -> LOC550,LOC550
SUP0519,CUST6434,LOC963,14:59,9,99,14:36,LOC963 -> LOC887 -> LOC461 -> LOC472 -> LOC965 -> LOC573 -> LOC378 -> LOC991 -> LOC801,LOC963 -> LOC805 -> LOC514 -> LOC159 -> LOC156 -> LOC639 -> LOC697 -> LOC842 -> LOC801,LOC963 -> LOC127 -> LOC781 -> LOC971 -> LOC133 -> LOC325 -> LOC116 -> LOC236 -> LOC801,LOC801
SUP8403,CUST9622,LOC842,03:30,6,200,07:15,LOC842 -> LOC242 -> LOC760 -> LOC566 -> LOC644 -> LOC560,LOC842 -> LOC956 -> LOC814 -> LOC385 -> LOC765 -> LOC560,LOC842 -> LOC903 -> LOC221 -> LOC471 -> LOC790 -> LOC560,LOC560
SUP5544,CUST0863,LOC603,13:39,2,428,08:02,LOC603 -> LOC805,LOC603 -> LOC805,LOC603 -> LOC805,LOC805
SUP0046,CUST4288,LOC708,01:37,2,277,19:50,LOC708 -> LOC621,LOC708 -> LOC621,LOC708 -> LOC621,LOC621
SUP2364,CUST9840,LOC906,05:45,6,227,04:43,LOC906 -> LOC449 -> LOC771 -> LOC329 -> LOC516 -> LOC594,LOC906 -> LOC845 -> LOC720 -> LOC293 -> LOC485 -> LOC594,LOC906 -> LOC271 -> LOC734 -> LOC786 -> LOC716 -> LOC594,LOC594
SUP5698,CUST9205,LOC627,04:43,4,365,19:31,LOC627 -> LOC576 -> LOC931 -> LOC938,LOC627 -> LOC565 -> LOC904 -> LOC938,LOC627 -> LOC830 -> LOC900 -> LOC938,LOC938
SUP1132,CUST7808,LOC720,21:52,9,388,11:46,LOC720 -> LOC808 -> LOC701 -> LOC722 -> LOC862 -> LOC574 -> LOC521 -> LOC564 -> LOC745,LOC720 -> LOC153 -> LOC751 -> LOC598 -> LOC868 -> LOC517 -> LOC708 -> LOC557 -> LOC745,LOC720 -> LOC451 -> LOC551 -> LOC883 -> LOC450 -> LOC134 -> LOC686 -> LOC781 -> LOC745,LOC745
SUP1426,CUST4242,LOC362,18:07,5,218,12:48,LOC362 -> LOC850 -> LOC218 -> LOC389 -> LOC627,LOC362 -> LOC809 -> LOC415 -> LOC379 -> LOC627,LOC362 -> LOC291 -> LOC613 -> LOC157 -> LOC627,LOC627
SUP8274,CUST6366,LOC332,12:03,6,374,13:35,LOC332 -> LOC376 -> LOC852 -> LOC759 -> LOC103 -> LOC280,LOC332 -> LOC993 -> LOC378 -> LOC316 -> LOC167 -> LOC280,LOC332 -> LOC256 -> LOC621 -> LOC121 -> LOC662 -> LOC280,LOC280
SUP2323,CUST6189,LOC279,03:12,2,210,03:51,LOC279 -> LOC127,LOC279 -> LOC127,LOC279 -> LOC127,LOC127
SUP7256,CUST0157,LOC713,04:38,4,291,20:12,LOC713 -> LOC118 -> LOC309 -> LOC948,LOC713 -> LOC490 -> LOC762 -> LOC948,LOC713 -> LOC648 -> LOC606 -> LOC948,LOC948
SUP4904,CUST0289,LOC822,14:15,8,106,08:15,LOC822 -> LOC928 -> LOC691 -> LOC146 -> LOC300 -> LOC321 -> LOC698 -> LOC304,LOC822 -> LOC193 -> LOC602 -> LOC610 -> LOC412 -> LOC227 -> LOC197 -> LOC304,LOC822 -> LOC682 -> LOC331 -> LOC369 -> LOC538 -> LOC983 -> LOC922 -> LOC304,LOC304
SUP8394,CUST3498,LOC837,22:40,9,354,23:34,LOC837 -> LOC992 -> LOC719 -> LOC407 -> LOC768 -> LOC490 -> LOC211 -> LOC575 -> LOC894,LOC837 -> LOC716 -> LOC883 -> LOC297 -> LOC780 -> LOC382 -> LOC993 -> LOC141 -> LOC894,LOC837 -> LOC346 -> LOC121 -> LOC839 -> LOC817 -> LOC272 -> LOC794 -> LOC208 -> LOC894,LOC894
SUP4116,CUST7838,LOC876,09:18,9,316,09:07,LOC876 -> LOC349 -> LOC230 -> LOC777 -> LOC752 -> LOC986 -> LOC658 -> LOC273 -> LOC114,LOC876 -> LOC628 -> LOC179 -> LOC116 -> LOC672 -> LOC813 -> LOC523 -> LOC966 -> LOC114,LOC876 -> LOC600 -> LOC673 -> LOC466 -> LOC909 -> LOC409 -> LOC135 -> LOC213 -> LOC114,LOC114
SUP4397,CUST7485,LOC206,09:59,2,208,00:50,LOC206 -> LOC715,LOC206 -> LOC715,LOC206 -> LOC715,LOC715
SUP3820,CUST4323,LOC644,15:38,2,444,12:15,LOC644 -> LOC616,LOC644 -> LOC616,LOC644 -> LOC616,LOC616
SUP6378,CUST3143,LOC379,07:48,6,425,06:52,LOC379 -> LOC688 -> LOC377 -> LOC455 -> LOC365 -> LOC493,LOC379 -> LOC469 -> LOC929 -> LOC898 -> LOC708 -> LOC493,LOC379 -> LOC817 -> LOC951 -> LOC801 -> LOC448 -> LOC493,LOC493
SUP1674,CUST9590,LOC878,08:24,2,487,19:32,LOC878 -> LOC166,LOC878 -> LOC166,LOC878 -> LOC166,LOC166
SUP8583,CUST0745,LOC419,00:02,7,455,13:34,LOC419 -> LOC828 -> LOC331 -> LOC812 -> LOC323 -> LOC456 -> LOC592,LOC419 -> LOC816 -> LOC201 -> LOC215 -> LOC978 -> LOC109 -> LOC592,LOC419 -> LOC831 -> LOC914 -> LOC827 -> LOC111 -> LOC296 -> LOC592,LOC592
SUP1448,CUST8904,LOC318,23:23,8,176,08:30,LOC318 -> LOC269 -> LOC887 -> LOC305 -> LOC159 -> LOC831 -> LOC546 -> LOC534,LOC318 -> LOC365 -> LOC201 -> LOC787 -> LOC324 -> LOC353 -> LOC267 -> LOC534,LOC318 -> LOC948 -> LOC456 -> LOC963 -> LOC323 -> LOC204 -> LOC659 -> LOC534,LOC534
SUP2591,CUST0499,LOC393,08:38,4,251,05:43,LOC393 -> LOC393 -> LOC142 -> LOC115,LOC393 -> LOC386 -> LOC949 -> LOC115,LOC393 -> LOC179 -> LOC208 -> LOC115,LOC115
SUP3443,CUST7335,LOC402,21:52,7,321,19:49,LOC402 -> LOC823 -> LOC622 -> LOC999 -> LOC227 -> LOC791 -> LOC266,LOC402 -> LOC744 -> LOC132 -> LOC400 -> LOC280 -> LOC926 -> LOC266,LOC402 -> LOC584 -> LOC465 -> LOC609 -> LOC613 -> LOC552 -> LOC266,LOC266
SUP6508,CUST0279,LOC133,04:10,4,259,16:01,LOC133 -> LOC545 -> LOC701 -> LOC748,LOC133 -> LOC224 -> LOC652 -> LOC748,LOC133 -> LOC271 -> LOC484 -> LOC748,LOC748
SUP6418,CUST9531,LOC659,16:01,9,393,05:05,LOC659 -> LOC528 -> LOC204 -> LOC251 -> LOC570 -> LOC130 -> LOC958 -> LOC837 -> LOC294,LOC659 -> LOC586 -> LOC496 -> LOC657 -> LOC453 -> LOC936 -> LOC181 -> LOC397 -> LOC294,LOC659 -> LOC956 -> LOC958 -> LOC915 -> LOC930 -> LOC681 -> LOC695 -> LOC135 -> LOC294,LOC294
SUP4272,CUST3215,LOC355,00:44,3,490,16:05,LOC355 -> LOC455 -> LOC232,LOC355 -> LOC888 -> LOC232,LOC355 -> LOC878 -> LOC232,LOC232
SUP2252,CUST2793,LOC584,18:16,6,183,23:02,LOC584 -> LOC624 -> LOC325 -> LOC437 -> LOC431 -> LOC917,LOC584 -> LOC243 -> LOC139 -> LOC188 -> LOC795 -> LOC917,LOC584 -> LOC784 -> LOC912 -> LOC871 -> LOC658 -> LOC917,LOC917
SUP8124,CUST8914,LOC694,12:22,3,229,11:19,LOC694 -> LOC550 -> LOC558,LOC694 -> LOC628 -> LOC558,LOC694 -> LOC184 -> LOC558,LOC558
SUP2945,CUST4359,LOC204,20:05,4,420,02:19,LOC204 -> LOC845 -> LOC333 -> LOC651,LOC204 -> LOC535 -> LOC476 -> LOC651,LOC204 -> LOC478 -> LOC710 -> LOC651,LOC651
SUP8590,CUST6079,LOC557,01:49,3,76,19:25,LOC557 -> LOC803 -> LOC212,LOC557 -> LOC772 -> LOC212,LOC557 -> LOC259 -> LOC212,LOC212
SUP4911,CUST3276,LOC528,22:11,9,252,02:52,LOC528 -> LOC747 -> LOC693 -> LOC501 -> LOC238 -> LOC996 -> LOC169 -> LOC303 -> LOC489,LOC528 -> LOC719 -> LOC825 -> LOC177 -> LOC905 -> LOC116 -> LOC828 -> LOC788 -> LOC489,LOC528 -> LOC669 -> LOC112 -> LOC422 -> LOC321 -> LOC565 -> LOC610 -> LOC425 -> LOC489,LOC489
SUP4383,CUST2268,LOC122,16:25,5,374,12:29,LOC122 -> LOC662 -> LOC471 -> LOC223 -> LOC125,LOC122 -> LOC618 -> LOC255 -> LOC562 -> LOC125,LOC122 -> LOC697 -> LOC476 -> LOC543 -> LOC125,LOC125
SUP9223,CUST4657,LOC431,03:40,4,83,10:26,LOC431 -> LOC657 -> LOC210 -> LOC433,LOC431 -> LOC371 -> LOC468 -> LOC433,LOC431 -> LOC808 -> LOC457 -> LOC433,LOC433
SUP1712,CUST6352,LOC891,11:09,9,351,17:03,LOC891 -> LOC643 -> LOC815 -> LOC810 -> LOC364 -> LOC272 -> LOC150 -> LOC837 -> LOC756,LOC891 -> LOC619 -> LOC583 -> LOC136 -> LOC592 -> LOC564 -> LOC692 -> LOC278 -> LOC756,LOC891 -> LOC653 -> LOC750 -> LOC699 -> LOC996 -> LOC679 -> LOC472 -> LOC640 -> LOC756,LOC756
SUP3419,CUST0591,LOC191,14:28,2,420,16:49,LOC191 -> LOC913,LOC191 -> LOC913,LOC191 -> LOC913,LOC913
SUP9117,CUST1623,LOC759,03:15,3,90,16:17,LOC759 -> LOC253 -> LOC770,LOC759 -> LOC713 -> LOC770,LOC759 -> LOC836 -> LOC770,LOC770
SUP4194,CUST7073,LOC126,22:35,8,389,14:31,LOC126 -> LOC918 -> LOC327 -> LOC892 -> LOC986 -> LOC823 -> LOC937 -> LOC323,LOC126 -> LOC654 -> LOC574 -> LOC984 -> LOC412 -> LOC235 -> LOC236 -> LOC323,LOC126 -> LOC421 -> LOC119 -> LOC197 -> LOC511 -> LOC183 -> LOC277 -> LOC323,LOC323
SUP0478,CUST5131,LOC603,01:08,2,209,00:45,LOC603 -> LOC554,LOC603 -> LOC554,LOC603 -> LOC554,LOC554
SUP2630,CUST5021,LOC923,12:27,4,205,01:41,LOC923 -> LOC562 -> LOC885 -> LOC701,LOC923 -> LOC634 -> LOC827 -> LOC701,LOC923 -> LOC139 -> LOC809 -> LOC701,LOC701
SUP9554,CUST8825,LOC574,02:31,3,292,09:40,LOC574 -> LOC932 -> LOC221,LOC574 -> LOC929 -> LOC221,LOC574 -> LOC948 -> LOC221,LOC221
SUP8084,CUST5725,LOC872,16:11,9,298,11:50,LOC872 -> LOC632 -> LOC557 -> LOC745 -> LOC109 -> LOC435 -> LOC691 -> LOC658 -> LOC933,LOC872 -> LOC234 -> LOC676 -> LOC825 -> LOC740 -> LOC697 -> LOC464 -> LOC491 -> LOC933,LOC872 -> LOC900 -> LOC172 -> LOC419 -> LOC629 -> LOC695 -> LOC799 -> LOC597 -> LOC933,LOC933
SUP5918,CUST4215,LOC416,15:02,4,385,03:14,LOC416 -> LOC759 -> LOC119 -> LOC539,LOC416 -> LOC187 -> LOC715 -> LOC539,LOC416 -> LOC269 -> LOC848 -> LOC539,LOC539
SUP3561,CUST7012,LOC368,11:25,10,422,09:55,LOC368 -> LOC346 -> LOC730 -> LOC914 -> LOC801 -> LOC512 -> LOC451 -> LOC360 -> LOC883 -> LOC554,LOC368 -> LOC264 -> LOC347 -> LOC505 -> LOC320 -> LOC869 -> LOC751 -> LOC199 -> LOC384 -> LOC554,LOC368 -> LOC155 -> LOC410 -> LOC568 -> LOC165 -> LOC869 -> LOC578 -> LOC399 -> LOC304 -> LOC554,LOC554
SUP0807,CUST8587,LOC614,04:12,2,443,22:19,LOC614 -> LOC565,LOC614 -> LOC565,LOC614 -> LOC565,LOC565
SUP3445,CUST8304,LOC806,14:58,2,454,11:41,LOC806 -> LOC151,LOC806 -> LOC151,LOC806 -> LOC151,LOC151
SUP5847,CUST6818,LOC659,18:05,7,123,05:32,LOC659 -> LOC259 -> LOC918 -> LOC856 -> LOC758 -> LOC712 -> LOC118,LOC659 -> LOC878 -> LOC958 -> LOC869 -> LOC909 -> LOC955 -> LOC118,LOC659 -> LOC231 -> LOC935 -> LOC393 -> LOC797 -> LOC851 -> LOC118,LOC118
SUP1789,CUST0374,LOC711,10:37,10,271,00:00,LOC711 -> LOC352 -> LOC382 -> LOC570 -> LOC283 -> LOC632 -> LOC103 -> LOC328 -> LOC502 -> LOC849,LOC711 -> LOC232 -> LOC910 -> LOC274 -> LOC137 -> LOC215 -> LOC773 -> LOC365 -> LOC682 -> LOC849,LOC711 -> LOC254 -> LOC696 -> LOC820 -> LOC926 -> LOC883 -> LOC341 -> LOC725 -> LOC762 -> LOC849,LOC849
SUP9868,CUST7549,LOC479,08:35,6,491,13:43,LOC479 -> LOC506 -> LOC332 -> LOC758 -> LOC667 -> LOC491,LOC479 -> LOC425 -> LOC921 -> LOC216 -> LOC460 -> LOC491,LOC479 -> LOC873 -> LOC392 -> LOC335 -> LOC212 -> LOC491,LOC491
SUP6294,CUST9093,LOC667,18:09,10,71,07:56,LOC667 -> LOC809 -> LOC498 -> LOC841 -> LOC628 -> LOC123 -> LOC673 -> LOC268 -> LOC442 -> LOC920,LOC667 -> LOC560 -> LOC535 -> LOC412 -> LOC283 -> LOC377 -> LOC496 -> LOC770 -> LOC378 -> LOC920,LOC667 -> LOC655 -> LOC192 -> LOC764 -> LOC857 -> LOC191 -> LOC694 -> LOC984 -> LOC452 -> LOC920,LOC920
SUP7070,CUST4673,LOC348,19:29,7,65,08:55,LOC348 -> LOC204 -> LOC933 -> LOC490 -> LOC681 -> LOC986 -> LOC447,LOC348 -> LOC768 -> LOC301 -> LOC850 -> LOC990 -> LOC112 -> LOC447,LOC348 -> LOC324 -> LOC975 -> LOC496 -> LOC684 -> LOC611 -> LOC447,LOC447
